timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601644696802,23,HTTP Request,200,,Institution-Checker 1-56,text,true,,124,533,1,1,http://localhost:8082/institution-check,23,0,1
1601644696869,35,HTTP Request,200,,Institution-Checker 1-57,text,true,,124,533,1,1,http://localhost:8082/institution-check,35,0,1
1601644696935,37,HTTP Request,200,,Institution-Checker 1-58,text,true,,124,533,1,1,http://localhost:8082/institution-check,37,0,2
1601644697004,45,HTTP Request,200,,Institution-Checker 1-59,text,true,,124,533,1,1,http://localhost:8082/institution-check,45,0,1
1601644697071,28,HTTP Request,200,,Institution-Checker 1-60,text,true,,124,533,1,1,http://localhost:8082/institution-check,28,0,1
1601644697137,20,HTTP Request,200,,Institution-Checker 1-61,text,true,,124,533,1,1,http://localhost:8082/institution-check,20,0,1
1601644697204,30,HTTP Request,200,,Institution-Checker 1-62,text,true,,124,533,1,1,http://localhost:8082/institution-check,30,0,2
1601644697271,12,HTTP Request,200,,Institution-Checker 1-63,text,true,,124,533,1,1,http://localhost:8082/institution-check,12,0,1
1601644697338,26,HTTP Request,200,,Institution-Checker 1-64,text,true,,124,533,1,1,http://localhost:8082/institution-check,26,0,2
1601644697405,39,HTTP Request,200,,Institution-Checker 1-65,text,true,,124,533,1,1,http://localhost:8082/institution-check,39,0,2
1601644697471,29,HTTP Request,200,,Institution-Checker 1-66,text,true,,124,533,1,1,http://localhost:8082/institution-check,29,0,2
1601644697538,49,HTTP Request,200,,Institution-Checker 1-67,text,true,,124,533,1,1,http://localhost:8082/institution-check,49,0,1
1601644697605,181,HTTP Request,200,,Institution-Checker 1-68,text,true,,124,533,3,3,http://localhost:8082/institution-check,181,0,1
1601644697740,82,HTTP Request,200,,Institution-Checker 1-70,text,true,,124,533,3,3,http://localhost:8082/institution-check,82,0,2
1601644697809,97,HTTP Request,200,,Institution-Checker 1-71,text,true,,124,533,3,3,http://localhost:8082/institution-check,97,0,1
1601644697672,277,HTTP Request,200,,Institution-Checker 1-69,text,true,,124,533,3,3,http://localhost:8082/institution-check,277,0,1
1601644697940,17,HTTP Request,200,,Institution-Checker 1-73,text,true,,124,533,2,2,http://localhost:8082/institution-check,17,0,1
1601644697873,105,HTTP Request,200,,Institution-Checker 1-72,text,true,,124,533,1,1,http://localhost:8082/institution-check,105,0,42
1601644698007,30,HTTP Request,200,,Institution-Checker 1-74,text,true,,124,533,1,1,http://localhost:8082/institution-check,30,0,1
1601644698076,50,HTTP Request,200,,Institution-Checker 1-75,text,true,,124,533,1,1,http://localhost:8082/institution-check,50,0,1
1601644698140,28,HTTP Request,200,,Institution-Checker 1-76,text,true,,124,533,1,1,http://localhost:8082/institution-check,28,0,0
1601644698212,44,HTTP Request,200,,Institution-Checker 1-77,text,true,,124,533,1,1,http://localhost:8082/institution-check,44,0,1
1601644698277,36,HTTP Request,200,,Institution-Checker 1-78,text,true,,124,533,1,1,http://localhost:8082/institution-check,36,0,2
1601644698344,41,HTTP Request,200,,Institution-Checker 1-79,text,true,,124,533,1,1,http://localhost:8082/institution-check,41,0,3
1601644698411,17,HTTP Request,200,,Institution-Checker 1-80,text,true,,124,533,1,1,http://localhost:8082/institution-check,17,0,0
1601644698477,24,HTTP Request,200,,Institution-Checker 1-81,text,true,,124,533,1,1,http://localhost:8082/institution-check,24,0,1
